2.00000000000000000E9	1.00083661805039670E2
2.25000000000000000E9	1.00062038412297170E2
2.50000000000000000E9	1.00112805747042750E2
3.00000000000000000E9	1.00096251386372930E2
4.00000000000000000E9	7.26629372980259540E1
4.66666666700000030E9	5.92417458402500600E1
5.33333333299999970E9	4.93615607589938770E1
6.00000000000000000E9	4.04568998655641910E1
6.50000000000000000E9	3.52527229335412780E1
7.00000000000000000E9	3.15401296093444030E1
7.50000000000000000E9	2.86802075822433620E1
8.00000000000000000E9	2.82730721657398170E1


